"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_5961_4303c614","CN DHP Spicy HotPot Soup Base 30*300g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19676_e9f55e2f","CN DHP Spicy HotPot Soup Base 60x150g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19056_db694878","CN Dried Black Fungus 10*1kg CASE","","__export__.account_tax_4_2705eab1","","223.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19711_846a16de","CN Dried Black Fungus 100*100g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19053_d4ceaf4f","CN Dried White Fungus 100*100g CASE","","__export__.account_tax_4_2705eab1","","300.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22116_2367a3a2","CN GLQ Marshmallow HELLO Baby Animals Shape 40*92g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","l10n_generic_coa.1_purchase_tax_template","23.0","23%","1","23%","1"
"__export__.product_product_18200_c1983a6a","CN GP Shanxi Superior Mature Vinegar 24*265ml CASE","","__export__.account_tax_4_2705eab1","","38.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_20584_ae3dfd70","CN Genji Spicy Bean Curd Slice Hot 60*148g CASE","","l10n_generic_coa.1_sale_tax_template","","60.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_19371_c4f15fcb","CN HBS Highland Barley Snack Bar 10*400g CASE","","l10n_generic_coa.1_sale_tax_template","","40.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5969_5da1b4f6","CN HBS Highland Barley Snack Bar 12*400g CASE","","__export__.account_tax_4_2705eab1","","41.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19370_9ae0d4ba","CN HBS Highland Barley Snack Bar w/Nuts 16*286g CASE","","l10n_generic_coa.1_sale_tax_template","","46.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_5963_c4f437b1","CN HBS Millet Snack Bar w/Nuts 16*286g CASE","","l10n_generic_coa.1_sale_tax_template","","46.5","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
